Annee,Region,Insuffisance_ponderale,Malnutrition_chronique,Malnutrition_aigue,Temp_max_moy,Temp_max_abs,Temp_min_moy,Temp_min_abs,Precipitation_annuelle_mm,Precipitation_max_jour_mm,Humidite_max_moy,Vent_max_kmh,Vent_moy_kmh,Pression_max_moy,Couverture_nuageuse_moy,UV_moy,Ensoleillement_total_h,Ensoleillement_moy_h_jour,Nb_jours_pluie,Nb_jours_chaud,Precip_saison_cyclonique_mm,Vent_max_saison_cyclonique,Nb_jours_vent_fort_cyclone,Precip_saison_seche_mm,Temp_max_seche,Croissance_PIB_pct,Inflation_moy_pct,Chomage_national_pct,Pauvrete_national_pct,Production_riz_paddy_tonnes,Production_cafe_tonnes,Import_miel_tons,Export_miel_tons,Cout_alimentation_saine_PPA,Cout_legumes_PPA,Cout_fruits_PPA,Pop_rgph3_2018,Pop_estimee,Superficie_km2,Densite_pop,Cycl_nbre_cyclones,Cycl_sinistres_total,Cycl_decedes_total,Cycl_max_categorie_Saffir,Annee_sin,Annee_cos,Insuffisance_ponderale_lag1,Insuffisance_ponderale_delta,Insuffisance_ponderale_ma3,Malnutrition_chronique_lag1,Malnutrition_chronique_delta,Malnutrition_chronique_ma3,Malnutrition_aigue_lag1,Malnutrition_aigue_delta,Malnutrition_aigue_ma3,Insuffisance_ponderale_moy_region,Insuffisance_ponderale_std_region,Malnutrition_chronique_moy_region,Malnutrition_chronique_std_region,Malnutrition_aigue_moy_region,Malnutrition_aigue_std_region,Stress_thermique,Amplitude_thermique,Indice_vuln_cyclone,R_Alaotra Mangoro,R_Amoron'i Mania,R_Analamanga,R_Analanjirofo,R_Androy,R_Anosy,R_Atsimo-Andrefana,R_Atsinanana,R_Betsiboka,R_Boeny,R_Bongolava,R_Diana,R_Haute Matsiatra,R_Ihorombe,R_Itasy,R_Melaky,R_Menabe,R_Sava,R_Sofia,R_Vakinankaratra,R_Vatovavy Fitovinany,PIB_Agriculture_MrdAr,Part_Agriculture_PIB_pct,PIB_Agriculture_croissance_pct,Pluie_APIPA_mm,Pluie_APIPA_max_jour_mm,Debit_max_APIPA_m3s,Debit_moy_APIPA_m3s,Chomage_2010_pct,Chomage_2012_pct,Sous_emploi_inadequat_2012_pct,Sous_emploi_duree_2012_pct,Source_enquete,FAO_stunted_children_pct,FAO_wasting_children_pct,Food_supply_variability_kcal,Pauvrete_region_2021_pct,Pauvrete_region_2010_pct,Pauvrete_region_est_pct,Acces_eau_potable_pct,Assainissement_ameliore_pct,Alpha_tisation_pct,Scolarisation_primaire_net_pct,Couverture_sanitaire_CSB2_10000hab,Vaccination_DTC3_pct,GDP_per_capita_PPP_const2017,FAO_acces_eau_base_pct,FAO_assainissement_base_pct,FAO_eau_securisee_pct,FAO_assainissement_securise_pct,Anemie_femmes_15_49_pct,Allaitement_exclusif_0_5m_pct,Faible_poids_naissance_pct,Stabilite_politique_index,Prod_alimentaire_variability,Besoins_energetiques_kcal_j,Besoins_energetiques_min_kcal_j,CV_consommation_calorique,Pertes_caloriques_detail_pct,Nb_enfants_retard_croissance_M,Nb_enfants_emaciation_M,Nb_nouveau_ne_faible_poids_M,Densite_ferree_km_100km2,Mais_prod_nationale_tonnes,Mais_surface_ha,Mais_rendement_hg_ha,Manioc_prod_nationale_tonnes,Manioc_surface_ha,Manioc_rendement_hg_ha,Manioc_par_habitant_kg,Riz_paddy_prod_nationale_tonnes,Riz_par_habitant_kg,Kcal_dispo_riz_manioc_par_jour,R_Atsimo-Atsinanana
2012,Alaotra Mangoro,36.7444800683028,56.45245844119748,6.872812315642429,21.83606557377049,28.0,13.581967213114757,7.0,4065.6,145.7,93.59836065573772,57.0,16.89344262295082,1018.2540983606556,45.23668032786885,4.538251366120218,7783.5,10.633196721311476,552.0,0.0,3598.8,57.0,2.0,180.6,20.342391304347824,3.1,6.1,5.4,71.5,,66900.0,1.54,20.2,,,,1065000.0,904430.5195794606,27400.0,33.00841312333798,2,0,0,1,0.0,1.0,,,36.7444800683028,,,56.45245844119748,,,6.872812315642429,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,5.370933090754253,8.254098360655735,1.171,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3502.0987811488167,2090.852667066967,,,,,,3.0,0.8,80.35,8.7,ENSOMD_2012,47.3,7.5,21.0,53.6,50.8,51.3090909090909,46.3,14.7,61.3,72.8,0.8,58.3,1497.0,46.2,9.1,15.5,7.7,37.5,41.9,19.5,-0.54,4.6,2133.0,1675.0,0.28,1.69,1.7,0.3,0.2,0.1,447948.0,269997.0,16591.0,3621309.0,475658.0,76133.0,163.65611496037585,4550649,205.65534062084168,2689.4341811220474,0
2013,Alaotra Mangoro,36.7444800683028,56.45245844119748,6.872812315642429,22.068493150684933,29.0,13.597260273972603,5.0,3698.2,118.1,92.86575342465754,36.0,16.350684931506848,1018.7835616438356,43.46541095890411,4.468493150684932,7843.9,10.745068493150685,548.0,0.0,3510.0,35.0,0.0,155.0,20.32608695652174,2.3,5.5,1.3,72.0,,63750.0,1.78,34.5,,,,1065000.0,930029.1406369038,27400.0,33.942669366310355,3,0,0,2,0.5406408174555976,0.8412535328311812,36.7444800683028,0.0,36.7444800683028,56.45245844119748,0.0,56.45245844119748,6.872812315642429,0.0,6.872812315642429,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,5.967360648608764,8.47123287671233,1.805,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3222.9938264013444,1869.6956328105864,-7.96964826491603,,,,,3.0,0.8,80.35,8.7,ENSOMD_2012,46.5,,24.0,53.6,50.8,51.56363636363636,46.3,14.7,61.3,72.8,0.8,58.3,1491.1,47.1,9.5,16.1,8.1,37.4,,19.4,-0.66,3.9,2137.0,1678.0,0.28,1.67,1.7,,0.2,0.1,380848.0,229684.0,16581.0,3114578.0,401316.0,77609.0,136.8814248515654,3610626,158.68205306982463,2121.6368917997006,0
2014,Alaotra Mangoro,28.3,46.9,5.7,22.312328767123287,28.0,13.695890410958905,6.0,2317.8,91.5,92.52054794520548,41.0,16.873972602739727,1018.8684931506848,43.0958904109589,4.523287671232877,7864.299999999999,10.773013698630136,514.0,0.0,2112.2,34.0,0.0,177.4,20.75543478260869,3.3,7.2,1.5,72.5,,49223.0,1.55,16.8,,,,1065000.0,956439.1284473564,27400.0,34.90653753457505,4,45000,68,3,0.9096319953545184,0.4154150130018864,36.7444800683028,-8.444480068302799,33.92965337886853,56.45245844119748,-9.55245844119748,53.26830562746499,6.872812315642429,-1.172812315642429,6.481874877094953,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,9.626511677937392,8.616438356164382,2.502,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3247.217788854804,1845.951058261545,0.7515981648809733,,,,,3.0,0.8,80.35,8.7,MICS_2018,45.7,,35.0,53.6,50.8,51.81818181818182,46.3,14.7,61.3,72.8,0.8,58.3,1500.9,48.0,9.9,16.7,8.4,37.4,,19.4,-0.56,10.5,2142.0,1681.0,0.28,1.67,1.7,,0.2,0.1,366172.0,217542.0,16832.0,2929743.0,376323.0,77852.0,125.20280318296454,3977863,169.99429584021428,2178.91649461231,0
2015,Alaotra Mangoro,28.3,46.9,5.7,22.649315068493152,29.0,13.986301369863014,6.0,4112.8,81.8,90.43561643835616,51.0,17.942465753424656,1018.9561643835616,37.21404109589041,4.816438356164384,7743.4,10.607397260273972,372.0,0.0,3877.8,51.0,2.0,205.8,21.190217391304348,3.3,8.2,1.8,73.0,,47507.0,2.71,53.6,,,,1065000.0,983498.2096602164,27400.0,35.894095243073586,3,0,0,1,0.9898214418809328,-0.142314838273285,28.3,0.0,31.114826689434267,46.9,0.0,50.08415281373249,5.7,0.0,6.090937438547477,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,5.507030506830663,8.663013698630138,1.4529999999999998,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3155.481221746184,1718.2949329657465,-2.8250820571222857,,,,,3.0,0.8,80.35,8.7,MICS_2018,45.0,,52.0,53.6,50.8,52.07272727272727,46.3,14.7,61.3,72.8,0.8,58.3,1508.4,48.9,10.3,17.3,8.7,37.4,,19.3,-0.43,11.0,2147.0,1684.0,0.28,1.67,1.7,,0.2,0.1,329367.0,192137.0,17142.0,2676952.0,346550.0,77246.0,111.25226780008892,3722304,154.69637163510671,1971.071038912372,0
2016,Alaotra Mangoro,28.3,46.9,5.7,22.363387978142075,29.0,13.442622950819672,6.0,3283.0,138.7,90.84426229508196,41.0,17.549180327868854,1019.7049180327868,35.45628415300546,4.69672131147541,7898.8,10.790710382513662,380.0,0.0,3098.6,28.0,0.0,168.6,20.157608695652176,4.2,6.9,2.0,74.0,,53093.0,2.72,57.1,,,,1065000.0,1009908.1974706688,27400.0,36.85796341133828,3,10000,15,3,0.7557495743542583,-0.654860733945285,28.3,0.0,28.3,46.9,0.0,46.9,5.7,0.0,5.7,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,6.811875716765786,8.920765027322403,2.184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3184.2017671732337,1616.7507251586012,0.910179570365388,,,,,3.0,0.8,80.35,8.7,MICS_2018,44.2,,69.0,53.6,50.8,52.32727272727273,46.3,14.7,61.3,72.8,0.8,58.3,1528.6,49.8,10.7,17.9,9.1,37.5,,19.2,-0.29,11.2,2151.0,1687.0,0.28,1.67,1.7,,0.2,,316331.0,182758.0,17309.0,2629478.0,342723.0,76723.0,106.42153195622512,3815849,154.4369248549065,1947.4073647181729,0
2017,Alaotra Mangoro,28.3,46.9,5.7,23.23835616438356,31.0,13.934246575342463,7.0,2823.0,68.6,90.4,55.0,15.813698630136988,1019.1561643835616,32.71027397260274,4.882191780821918,7965.599999999999,10.911780821917809,434.0,0.0,2466.8,55.0,2.0,306.4,21.88043478260869,4.1,8.4,2.5,75.0,,59602.0,3.19,58.7,3.08,,,1065000.0,1037332.3937223832,27400.0,37.85884648621836,3,83000,80,4,0.2817325568414296,-0.9594929736144974,28.3,0.0,28.3,46.9,0.0,46.9,5.7,0.0,5.7,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,8.231794603040582,9.304109589041095,2.665,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3207.061056780647,1661.9746049336782,0.71789702031686,,,,,3.0,0.8,80.35,8.7,MICS_2018,43.4,,59.0,53.6,50.8,52.58181818181818,46.3,14.7,61.3,72.8,0.8,58.3,1548.2,50.7,11.1,18.5,9.4,37.5,,19.0,-0.3,10.1,2155.0,1690.0,0.28,1.67,1.7,,0.2,,281487.0,161716.0,17406.0,2522722.0,328799.0,76725.0,99.40158663107492,3600500,141.86874838574573,1796.1182409858354,0
2018,Alaotra Mangoro,28.3,46.9,5.7,23.83561643835617,30.0,14.186301369863012,8.0,2793.4,46.2,88.81095890410958,33.0,15.145205479452056,1018.8602739726028,29.441438356164383,5.098630136986301,7996.4,10.953972602739723,402.0,0.0,2606.6,33.0,0.0,134.2,22.32608695652174,4.6,8.6,4.2,75.3,397000.0,60114.0,5.59,93.6,3.18,,,1065000.0,1065000.0,27400.0,38.86861313868613,2,0,0,2,-0.2817325568414294,-0.9594929736144976,28.3,0.0,28.3,46.9,0.0,46.9,5.7,0.0,5.7,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,8.532833263534103,9.649315068493152,1.499,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3309.0533149764565,1665.830970966667,3.1802406125124527,,,,,3.0,0.8,80.35,8.7,MICS_2018,42.4,6.4,25.0,53.6,50.8,52.83636363636364,46.3,14.7,61.3,72.8,0.8,58.3,1557.3,51.6,11.5,19.2,9.7,37.7,50.6,18.9,-0.58,2.5,2159.0,1692.0,0.28,1.67,1.7,0.3,0.2,0.1,215000.0,122963.0,17485.0,2500000.0,319450.0,78260.0,95.9471906662573,4030000,154.66687135400676,1903.6974104247545,0
2019,Alaotra Mangoro,24.7,44.9,3.7,24.66301369863013,34.0,14.865753424657534,5.0,3850.0,57.5,88.76438356164384,28.0,13.742465753424655,1018.8,33.041438356164385,5.082191780821918,7909.0,10.834246575342464,472.0,0.0,3301.8,23.0,0.0,352.4,23.157608695652176,5.0,6.3,4.0,75.2,477000.0,65760.0,11.2,92.5,3.21,,,1065000.0,1094209.203108335,27400.0,39.934642449209306,2,0,0,1,-0.7557495743542582,-0.6548607339452852,28.3,-3.6000000000000014,27.100000000000005,46.9,-2.0,46.23333333333333,5.7,-2.0,5.033333333333334,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,6.405977584059776,9.797260273972604,1.069,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3560.435825605637,1745.795143860416,7.596810528601883,,,,,3.0,0.8,80.35,8.7,EDSM_2021,41.4,,20.0,53.6,50.8,53.09090909090909,46.3,14.7,61.3,72.8,0.8,58.3,1585.5,52.5,11.9,19.9,10.1,37.8,,18.8,-0.32,3.0,2163.0,1695.0,0.28,1.67,1.7,,0.2,0.1,219220.0,126258.0,17363.0,2913862.0,369977.0,78758.0,108.84550003093987,3910629,146.0791104522089,1877.889552417082,0
2020,Alaotra Mangoro,24.7,44.9,3.7,24.00546448087432,35.0,13.797814207650273,5.0,4303.4,149.9,90.6256830601093,29.0,14.245901639344265,1018.74043715847,45.927254098360656,4.8469945355191255,7345.5,10.03483606557377,400.0,0.0,4043.4,23.0,0.0,163.2,22.47826086956522,5.5,7.2,4.5,77.4,,,0.98,102.5,3.2,,,1065000.0,1123377.8378790186,27400.0,40.99919116346784,3,0,0,2,-0.9898214418809328,-0.1423148382732852,24.7,0.0,25.9,44.9,0.0,45.56666666666666,3.7,0.0,4.366666666666667,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,5.578255444735399,10.207650273224044,1.769,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3583.02095770052,1996.883604241949,0.6343361656024449,,,,,3.0,0.8,80.35,8.7,EDSM_2021,40.4,,22.0,53.6,50.8,53.345454545454544,46.3,14.7,61.3,72.8,0.8,58.3,1436.2,53.4,12.3,20.5,10.4,,,18.7,-0.53,4.2,2167.0,1697.0,0.28,1.67,1.6,,0.2,0.1,224883.0,127026.0,17704.0,2599679.0,328226.0,79204.0,94.58793328879533,4227927,153.830867974814,1889.7225511614288,0
2021,Alaotra Mangoro,24.7,44.9,3.7,25.15068493150685,36.0,13.747945205479452,6.0,3169.2,68.5,89.65205479452055,25.0,14.063013698630137,1019.6739726027396,44.69315068493151,4.920547945205479,7374.8,10.102465753424658,430.0,8.0,2936.6,23.0,0.0,89.0,23.342391304347824,6.0,5.5,5.0,78.0,,,,,3.34,0.41,0.43,1065000.0,1153236.134389761,27400.0,42.08891001422485,2,3000,5,2,-0.9096319953545186,0.415415013001886,24.7,0.0,24.7,44.9,0.0,44.9,3.7,0.0,3.7,28.526269103327785,4.4033545447715,47.90953789839954,4.327679402292357,5.185965875571351,1.258746819801214,7.935972779094676,11.402739726027397,1.469,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,3.0,0.8,80.35,8.7,EDSM_2021,39.4,7.2,15.0,53.6,50.8,53.6,46.3,14.7,61.3,72.8,0.8,58.3,1463.6,,,,,,54.4,,-0.64,,2184.0,1709.0,0.28,1.67,1.6,0.3,,,232026.0,126200.0,18386.0,2439642.0,306295.0,79650.0,86.46686673995505,4391386,155.6414375821142,1871.484981702268,0
