Zone,Annee,Precipitation_annuelle_mm,Precipitation_max_24h_mm,Temperature_moy_C,Humidite_pct,Niveau_eau_moy_m,Elevation_moy_m,Couverture_forest_pct,Surface_impermeable_pct,Drainage_capacite_pct,Densite_pop_km2,PIB_habitant_USD,Infra_protection_pct,Qualite_construction_idx,Alerte_precoce_idx,Subsidence_cm_an,Cyclones_an,ma3_Risque,lag1_Risque,Indice_Risque_Inondation,Degats_millions_USD,Population_a_risque_M,Zone_enc,lag1_Indice_Risque_Inondation,ma3_Indice_Risque_Inondation,lag1_Degats_millions_USD,ma3_Degats_millions_USD,lag1_Population_a_risque_M,ma3_Population_a_risque_M
Bangkok_Metropole,2015,1974.2,146.0,27.31,75.3,4.85,21.4,40.4,52.1,57.57,1263.2,2690.4,48.45,56.84,43.37,3.48,3,71.0,72.66,86.34,1198.8,11.19,0,78.92,82.63,849.5,1024.15,9.0,10.094999999999999
Bangkok_Metropole,2016,1281.5,126.3,28.28,75.7,4.12,18.0,40.32,46.63,62.91,950.5,3650.6,46.52,57.39,39.16,4.54,1,72.05,73.15,78.36,925.7,9.28,0,86.34,81.20666666666666,1198.8,991.3333333333334,11.19,9.823333333333332
Bangkok_Metropole,2017,1720.0,137.7,26.91,78.2,3.36,6.1,45.39,57.18,57.18,910.4,2848.8,50.27,63.84,44.61,3.54,2,70.12,72.17,80.87,826.4,8.75,0,78.36,81.85666666666667,925.7,983.6333333333333,9.28,9.74
Bangkok_Metropole,2018,2393.8,161.6,28.03,77.5,4.28,13.8,39.38,52.4,59.89,805.9,3231.2,45.63,61.01,39.85,4.8,3,73.16,71.63,87.39,1371.4,11.38,0,80.87,82.20666666666666,826.4,1041.1666666666667,8.75,9.803333333333335
Bangkok_Metropole,2019,1300.4,132.5,28.08,77.9,4.21,16.3,38.12,50.48,66.79,532.5,3105.2,40.1,59.62,44.91,3.82,1,70.68,74.75,84.12,895.9,9.99,0,87.39,84.12666666666667,1371.4,1031.2333333333333,11.38,10.040000000000001
Bangkok_Metropole,2020,1810.2,183.9,27.13,76.0,4.88,12.5,40.82,49.09,57.73,751.7,3173.7,41.57,60.87,53.75,4.6,2,71.9,74.26,95.27,1291.6,11.02,0,84.12,88.92666666666666,895.9,1186.3,9.99,10.796666666666667
Bangkok_Metropole,2021,1653.2,144.9,26.7,78.9,3.42,11.3,30.46,52.83,67.25,958.7,3205.8,44.07,64.2,46.32,3.53,3,73.11,71.27,81.52,1003.8,9.72,0,95.27,86.97000000000001,1291.6,1063.7666666666667,11.02,10.243333333333332
Bangkok_Metropole,2022,1431.7,210.2,26.78,76.9,5.74,13.2,40.67,47.38,69.55,821.0,2909.0,46.49,69.68,51.77,3.92,3,71.28,72.17,93.73,1354.6,11.76,0,81.52,90.17333333333333,1003.8,1216.6666666666667,9.72,10.833333333333334
Bangkok_Metropole,2023,1693.2,109.1,27.86,77.7,3.09,10.4,42.72,57.23,61.88,853.2,3247.0,49.02,63.73,53.0,4.51,1,71.26,70.75,81.05,1061.0,9.37,0,93.73,85.43333333333334,1354.6,1139.8,11.76,10.283333333333333
Bangkok_Metropole,2024,1477.6,164.0,27.7,79.3,3.05,14.7,37.35,51.6,61.27,982.8,3183.5,41.55,67.79,54.54,3.03,2,71.03,73.03,81.68,1023.3,9.59,0,81.05,85.48666666666668,1061.0,1146.3,9.37,10.24
Central_Luzon,2015,1880.1,199.5,26.56,85.4,5.31,12.0,46.63,34.58,61.46,973.7,3382.2,47.19,63.11,41.13,0.14,3,75.09,73.73,89.78,737.9,11.38,1,74.24,82.00999999999999,576.2,657.05,10.28,10.83
Central_Luzon,2016,1489.8,117.5,27.68,75.7,4.21,19.9,44.2,34.75,57.12,1325.0,3454.2,51.42,62.32,31.03,0.68,1,72.83,74.15,72.08,526.1,9.45,1,89.78,78.7,737.9,613.4,11.38,10.37
Central_Luzon,2017,1300.3,153.6,26.56,76.5,3.32,13.4,46.38,22.37,67.71,1402.3,2844.9,42.54,60.35,42.52,1.11,0,72.66,75.85,74.3,634.2,10.0,1,72.08,78.72000000000001,526.1,632.7333333333333,9.45,10.276666666666666
Central_Luzon,2018,1377.2,199.1,27.03,76.6,4.48,13.9,47.34,35.53,64.84,844.9,3037.9,62.42,66.42,58.65,1.7,3,74.36,73.96,83.93,733.2,11.75,1,74.3,76.77,634.2,631.1666666666667,10.0,10.4
Central_Luzon,2019,1345.1,132.4,27.83,75.3,3.35,7.9,39.39,28.64,58.5,1408.9,2925.4,48.63,60.49,53.19,1.66,2,74.37,73.72,74.21,670.6,9.54,1,83.93,77.48,733.2,679.3333333333334,11.75,10.43
Central_Luzon,2020,2129.1,211.8,26.74,81.1,4.77,18.9,40.85,29.14,60.67,1171.8,3237.5,46.33,53.65,50.15,1.99,3,74.73,74.69,93.29,856.0,12.02,1,74.21,83.81,670.6,753.2666666666668,9.54,11.103333333333333
Central_Luzon,2021,1441.2,96.1,27.01,78.9,3.45,13.3,45.1,36.0,69.81,1150.6,2847.7,46.87,63.62,39.12,1.69,2,74.46,75.64,71.92,616.6,10.02,1,93.29,79.80666666666666,856.0,714.4,12.02,10.526666666666666
Central_Luzon,2022,1884.8,156.8,28.57,76.9,4.77,4.5,48.5,37.16,64.09,1094.6,3380.0,60.34,54.78,52.71,0.54,2,73.7,73.49,83.55,732.6,12.01,1,71.92,82.92,616.6,735.0666666666667,10.02,11.35
Central_Luzon,2023,1006.8,136.2,27.01,74.5,3.74,5.8,42.5,30.23,66.11,960.1,3144.7,50.67,59.94,49.01,0.24,2,76.12,77.35,74.62,644.4,9.46,1,83.55,76.69666666666666,732.6,664.5333333333334,12.01,10.496666666666668
Central_Luzon,2024,2000.8,143.3,26.91,81.7,3.52,10.2,44.38,31.81,69.11,938.8,2985.0,44.95,67.8,46.72,0.33,1,73.96,72.58,72.51,727.3,9.93,1,74.62,76.89333333333333,644.4,701.4333333333334,9.46,10.466666666666667
Chao_Phraya_Bassin,2015,1772.0,171.3,26.94,78.3,4.66,10.2,45.4,30.36,45.97,502.3,2496.9,37.27,50.76,35.24,0.78,4,76.6,77.13,98.58,843.4,5.72,2,75.52,87.05,711.9,777.65,3.76,4.74
Chao_Phraya_Bassin,2016,1730.3,57.7,26.87,84.4,2.76,4.1,36.9,33.7,56.42,427.5,2765.0,45.35,59.74,34.13,0.0,1,77.49,77.69,71.43,701.0,4.39,2,98.58,81.84333333333333,843.4,752.1,5.72,4.623333333333333
Chao_Phraya_Bassin,2017,1463.5,153.0,27.38,78.2,4.0,12.3,54.39,27.18,48.42,509.7,2711.8,45.04,50.88,28.75,1.42,2,75.67,78.0,78.54,620.2,3.82,2,71.43,82.85000000000001,701.0,721.5333333333333,4.39,4.6433333333333335
Chao_Phraya_Bassin,2018,2162.8,183.5,26.09,80.6,3.64,13.3,39.73,30.9,53.72,644.3,3001.1,38.59,52.73,34.17,1.09,3,77.88,75.84,94.05,964.2,5.99,2,78.54,81.34,620.2,761.8000000000001,3.82,4.733333333333333
Chao_Phraya_Bassin,2019,1139.7,164.3,27.54,77.3,3.01,8.7,50.01,32.91,48.65,646.9,2375.7,46.8,58.16,34.53,0.69,0,76.22,76.39,82.74,635.0,3.65,2,94.05,85.11,964.2,739.8000000000001,5.99,4.486666666666667
Chao_Phraya_Bassin,2020,1845.7,195.2,27.6,72.3,4.33,6.5,47.71,35.35,47.11,396.8,2501.6,28.34,53.28,36.0,1.49,2,77.26,76.19,93.91,908.7,6.73,2,82.74,90.23333333333333,635.0,835.9666666666667,3.65,5.456666666666667
Chao_Phraya_Bassin,2021,1325.5,123.7,26.91,74.2,3.52,14.4,36.86,35.93,47.55,458.4,2819.2,36.58,51.99,36.29,1.06,0,75.8,78.74,84.5,675.4,4.21,2,93.91,87.05,908.7,739.6999999999999,6.73,4.863333333333333
Chao_Phraya_Bassin,2022,2028.4,200.8,25.62,75.3,4.25,14.8,55.09,33.32,44.97,640.5,3076.3,40.74,47.47,43.15,1.33,2,78.46,79.2,98.77,977.1,6.05,2,84.5,92.39333333333332,675.4,853.7333333333332,4.21,5.663333333333334
Chao_Phraya_Bassin,2023,1913.2,83.7,27.62,73.9,4.17,11.0,48.64,35.97,46.08,849.9,3165.4,44.91,48.39,37.33,1.07,1,80.03,78.17,71.25,752.7,4.06,2,98.77,84.84,977.1,801.7333333333332,6.05,4.773333333333333
Chao_Phraya_Bassin,2024,1527.5,108.9,27.95,81.4,3.79,10.6,41.79,35.06,48.39,685.8,2858.0,48.5,58.68,35.93,1.41,1,78.84,77.38,78.17,731.3,3.33,2,71.25,82.73,752.7,820.3666666666667,4.06,4.4799999999999995
Ganges_Bengale,2015,1907.7,137.5,27.81,77.2,3.62,17.4,55.2,30.38,100.0,3523.3,5405.9,79.65,100.0,84.6,1.37,2,89.45,91.24,91.86,1008.5,35.08,3,80.82,86.34,814.3,911.4,32.78,33.93
Ganges_Bengale,2016,1989.2,139.3,26.54,76.5,3.57,13.3,39.46,33.17,100.0,3166.9,5261.3,80.58,100.0,98.45,1.12,1,90.26,89.58,86.18,782.4,33.12,3,91.86,86.28666666666668,1008.5,868.4,35.08,33.66
Ganges_Bengale,2017,1507.7,169.2,27.82,75.9,4.65,13.3,39.92,36.46,100.0,3508.4,5408.9,82.54,100.0,95.89,1.29,2,91.8,89.62,90.68,754.1,33.04,3,86.18,89.57333333333334,782.4,848.3333333333334,33.12,33.74666666666666
Ganges_Bengale,2018,1885.9,178.3,26.82,82.0,3.99,9.0,54.4,34.93,98.87,3406.9,5036.4,78.95,95.11,89.32,0.43,3,88.05,90.1,93.96,1116.9,35.65,3,90.68,90.27333333333333,754.1,884.4666666666667,33.04,33.93666666666667
Ganges_Bengale,2019,1760.6,110.2,28.74,73.3,2.87,11.7,54.77,31.89,100.0,3236.6,5883.8,88.77,100.0,87.35,0.65,0,90.1,88.7,78.33,770.1,33.08,3,93.96,87.65666666666665,1116.9,880.3666666666667,35.65,33.923333333333325
Ganges_Bengale,2020,1768.6,194.0,27.24,77.1,4.48,8.0,43.73,33.45,100.0,3729.1,5355.6,84.75,100.0,95.63,1.02,2,91.14,90.81,96.24,1024.3,34.78,3,78.33,89.50999999999999,770.1,970.4333333333334,33.08,34.50333333333333
Ganges_Bengale,2021,1581.2,117.5,28.12,79.1,4.27,9.2,48.59,31.91,100.0,3243.2,5710.5,74.68,100.0,93.7,0.74,1,91.02,89.88,82.65,847.4,34.59,3,96.24,85.74000000000001,1024.3,880.6,34.78,34.15
