Province,Annee,PIB_habitant_USD,Couverture_vaccinale_pct,Accouchements_qualified_pct,Eau_potable_pct,Assainissement_pct,Paludisme_incidence_p1000,Anemie_femmes_pct,Nutrition_infantile_pct,Depense_sante_PIB_pct,Distance_hopital_km,Education_filles_pct,Contraception_pct,Temperature_moy_C,Precipitation_mm,Densite_pop_km2,ma3_Mortalite,lag1_Mortalite,Mortalite_infantile_p1000,Vaccination_complete_pct,Province_enc,lag1_Mortalite_p1000,lag1_Vaccination_pct,ma3_Vaccination,lag1_Accouchements_pct,ma3_Accouchements,lag1_Vaccination_complete_pct,ma3_Vaccination_complete_pct,lag1_Accouchements_qualified_pct,ma3_Accouchements_qualified_pct
Addis_Abeba,2014,1848.6,84.41,100.0,95.12,54.79,55.3,4.57,52.2,5.55,14.3,83.04,80.53,22.9,604.0,1441.8,16.505,40.49,19.93,100.0,0,13.08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2015,1832.8,87.07,100.0,91.9,62.94,2.5,7.48,50.93,6.01,23.6,86.88,80.87,21.4,643.0,1492.0,16.923333333333332,40.17,17.76,100.0,0,19.93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2016,1827.6,86.4,100.0,89.38,56.66,70.6,9.26,51.94,5.91,19.5,87.69,88.61,22.4,1126.0,1418.0,18.923333333333332,42.16,19.08,100.0,0,17.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2017,1864.8,88.62,100.0,87.53,61.04,67.3,3.83,54.64,4.82,15.1,86.55,86.28,21.8,884.0,1414.1,18.433333333333334,42.56,18.46,100.0,0,19.08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2018,1801.6,91.57,100.0,96.78,59.81,65.8,0.12,53.64,6.03,0.0,89.01,83.65,21.4,558.0,1451.7,16.746666666666666,40.71,12.7,100.0,0,18.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2019,1815.0,87.96,100.0,91.57,61.98,74.2,0.0,55.44,5.84,10.7,92.73,84.89,18.5,1099.0,1441.2,14.463333333333333,42.43,12.23,100.0,0,12.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2020,1868.3,84.22,100.0,91.09,64.1,63.1,1.88,51.68,5.74,6.8,96.03,84.39,16.2,725.0,1408.8,13.213333333333333,39.14,14.71,100.0,0,12.23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2021,1821.4,92.77,100.0,91.22,59.74,0.0,2.83,53.72,5.75,10.7,91.16,87.82,19.4,955.0,1409.9,12.276666666666666,38.8,9.89,100.0,0,14.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2022,1883.8,93.77,100.0,93.18,61.26,82.9,0.41,55.49,6.25,28.6,93.27,88.64,26.6,676.0,1393.9,10.626666666666667,42.07,7.28,100.0,0,9.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Addis_Abeba,2023,1860.7,94.28,100.0,100.0,61.14,19.7,1.68,55.66,6.25,17.6,98.55,83.47,25.3,1105.0,1462.1,8.413333333333334,38.52,8.07,100.0,0,7.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Afar,2014,183.9,19.38,28.13,40.6,17.94,229.8,36.26,7.94,3.71,41.9,30.39,17.84,21.5,465.0,156.1,91.97,92.34,89.94,28.98,1,94.0,24.19,26.585,28.99,28.56,24.19,26.585,28.99,28.56
Afar,2015,182.2,17.13,26.35,41.78,18.51,288.9,34.82,11.46,3.84,48.2,31.77,16.56,19.8,827.0,173.8,93.64999999999999,88.44,97.01,29.48,1,89.94,28.98,27.55,28.13,27.823333333333334,28.98,27.55,28.13,27.823333333333334
Afar,2016,182.2,20.93,32.18,38.29,18.88,210.9,34.34,8.83,4.25,51.1,39.04,21.16,22.6,693.0,169.2,91.24666666666667,90.65,86.79,33.68,1,97.01,29.48,30.713333333333335,26.35,28.886666666666667,29.48,30.713333333333335,26.35,28.886666666666667
Afar,2017,183.9,24.42,26.58,39.39,20.72,245.4,36.05,11.23,4.45,53.4,35.99,19.02,19.9,300.0,150.0,89.16666666666667,92.39,83.7,31.0,1,86.79,33.68,31.386666666666667,32.18,28.37,33.68,31.386666666666667,32.18,28.37
Afar,2018,187.6,18.74,31.94,42.28,18.8,183.0,37.45,10.61,4.23,42.5,33.16,13.01,22.5,688.0,127.4,85.49333333333334,93.76,85.99,31.31,1,83.7,31.0,31.996666666666666,26.58,30.233333333333334,31.0,31.996666666666666,26.58,30.233333333333334
Afar,2019,178.4,23.47,33.87,41.72,16.09,191.2,33.77,12.8,4.42,58.4,37.52,18.71,24.3,859.0,182.0,83.94333333333333,90.26,82.14,29.9,1,85.99,31.31,30.736666666666665,31.94,30.796666666666663,31.31,30.736666666666665,31.94,30.796666666666663
Afar,2020,188.1,29.15,35.33,44.15,20.56,176.3,38.95,13.74,4.23,49.5,40.47,24.55,24.6,909.0,169.4,84.46666666666667,91.31,85.27,31.21,1,82.14,29.9,30.80666666666667,33.87,33.71333333333333,29.9,30.80666666666667,33.87,33.71333333333333
Afar,2021,180.0,25.26,32.4,42.21,22.6,160.2,37.66,12.04,4.62,46.4,41.19,18.33,20.8,708.0,169.7,84.46333333333332,90.79,85.98,30.83,1,85.27,31.21,30.646666666666665,35.33,33.86666666666667,31.21,30.646666666666665,35.33,33.86666666666667
Afar,2022,181.4,21.14,32.95,42.15,22.46,216.4,38.47,14.03,4.51,45.8,36.94,24.87,20.8,613.0,138.7,85.5,91.37,85.25,37.43,1,85.98,30.83,33.156666666666666,32.4,33.559999999999995,30.83,33.156666666666666,32.4,33.559999999999995
Afar,2023,183.6,29.22,36.82,49.3,27.04,236.3,32.24,15.33,4.15,42.0,41.5,25.04,23.0,624.0,166.3,84.19,92.33,81.34,36.83,1,85.25,37.43,35.029999999999994,32.95,34.056666666666665,37.43,35.029999999999994,32.95,34.056666666666665
Amhara,2014,311.1,54.49,48.45,44.59,23.43,176.9,32.76,29.36,4.07,42.3,40.23,22.26,22.1,588.0,218.5,61.3,73.47,57.99,61.92,2,64.61,58.06,59.99,42.5,45.475,58.06,59.99,42.5,45.475
Amhara,2015,300.0,41.79,45.16,40.74,20.27,198.5,38.59,30.73,3.84,31.2,40.02,22.36,23.0,693.0,255.3,62.45666666666667,73.22,64.77,59.1,2,57.99,61.92,59.693333333333335,48.45,45.370000000000005,61.92,59.693333333333335,48.45,45.370000000000005
Amhara,2016,309.8,48.52,44.19,41.7,22.19,169.8,34.97,29.58,4.55,39.7,45.16,20.87,25.4,450.0,253.0,62.050000000000004,70.81,63.39,65.24,2,64.77,59.1,62.086666666666666,45.16,45.93333333333334,59.1,62.086666666666666,45.16,45.93333333333334
Amhara,2017,306.6,43.72,46.83,48.52,22.35,172.8,33.41,34.14,3.38,35.6,46.49,29.57,21.8,552.0,302.9,62.89333333333334,73.02,60.52,61.2,2,63.39,65.24,61.846666666666664,44.19,45.39333333333334,65.24,61.846666666666664,44.19,45.39333333333334
Amhara,2018,306.5,56.35,45.3,38.19,28.63,214.4,36.06,33.23,3.74,43.7,40.91,19.8,22.7,1302.0,184.8,61.43000000000001,72.96,60.38,61.92,2,60.52,61.2,62.78666666666667,46.83,45.44,61.2,62.78666666666667,46.83,45.44
Amhara,2019,306.8,50.53,47.94,47.78,27.78,203.5,34.69,32.75,4.41,51.2,42.11,28.94,22.6,839.0,201.9,60.03000000000001,70.75,59.19,62.19,2,60.38,61.92,61.77,45.3,46.69,61.92,61.77,45.3,46.69
