Cible,Modele,R2_test,RMSE_test,MAE_test,R2_train,Temps_s
Insuffisance Pondérale,Ridge,0.9104791248873598,1.855321594239177,1.465435228064845,0.993428817169086,0.0029902458190917
Insuffisance Pondérale,GB_Sklearn,0.9101196013430162,1.8590434268384688,1.321739060096565,0.9999985643937692,0.9266247749328612
Insuffisance Pondérale,Random_Forest,0.9013081059445036,1.948039603595514,1.3998188232346027,0.9724269959196106,0.7099199295043945
Insuffisance Pondérale,XGBoost,0.8715173140362383,2.222692292014081,1.4867908362186315,0.9999999359550868,0.7639503479003906
Insuffisance Pondérale,LightGBM,0.777223742571893,2.926789523021541,2.238975395049817,0.9954111717715426,1.8999676704406736
Insuffisance Pondérale,CatBoost,0.6848250142736901,3.481231549903965,2.744215192773457,0.9998715082259833,1.5023603439331057
Malnutrition Aigüe,Ridge,0.9669794266313216,0.610961852870013,0.4310747142819504,0.9871001023538848,0.0070102214813232
Malnutrition Aigüe,GB_Sklearn,0.892606553748288,1.101820070700514,0.7704593262722951,0.999998193911289,1.3406755924224854
Malnutrition Aigüe,Random_Forest,0.8912837444242767,1.1085850884619608,0.7743789854045742,0.9681469792023796,0.8001415729522705
Malnutrition Aigüe,XGBoost,0.8682662950097423,1.2203102042959728,0.8379237088290127,0.9999999201017984,0.891779899597168
Malnutrition Aigüe,LightGBM,0.8119224999155199,1.4581097413765325,1.1152376395302868,0.9934535679418364,0.4388360977172851
Malnutrition Aigüe,CatBoost,0.7837515011807864,1.5635016370470274,1.144494314012471,0.999869587580312,1.2939844131469729
Malnutrition Chronique,Ridge,0.958752567449863,1.9644096458395408,1.2829557900594724,0.993145649220564,0.0
Malnutrition Chronique,GB_Sklearn,0.9547570438517048,2.0573542796507844,1.4414684202378856,0.9999985920999632,0.9660365581512452
Malnutrition Chronique,Random_Forest,0.9538140031761548,2.078685363725618,1.3596796215422744,0.978944577334666,0.6138627529144287
Malnutrition Chronique,XGBoost,0.9221561406635832,2.698645118741416,1.6605954545916934,0.9999999482037772,0.9137539863586426
Malnutrition Chronique,LightGBM,0.8783241133236872,3.373928364078237,2.42538834352176,0.9951409113042454,0.3082716464996338
Malnutrition Chronique,CatBoost,0.8718407867098769,3.462649346265476,2.631832695648236,0.9998855632347362,1.225700616836548
